age,replicate,recording,minimum,lq,median,uq,maximum
20,b,r,8.569469835465002,18.008299595778038,26.20680655839245,36.15506055610855,43.93673110719555
22,b,r,6.632179334129306,9.940141785256206,13.097194631823111,22.65194389735243,25.477707006372306
25,r,r,15.8566558312852,25.742590468457728,31.384108397567594,41.894002984526324,50.08347245411479
25,b,r,6.850253459377994,12.673749487485097,18.26842305766467,44.89821999461928,65.96306068602425
27,r,r,17.859694242033502,26.56277669559057,29.875717017223245,35.310734463266996,41.237113402070364
29,r,r,24.962556165751106,30.712530712527226,33.795201081443636,40.209087253719424,47.92332268372529
29,b,r,17.057084375710083,24.169184290028948,32.794053344976646,46.21072088723519,62.97229219146419
32,r,r,26.904864399485643,34.78569756091454,39.32724125062879,44.474100434951715,52.02913631632569
32,b,r,8.441193021947367,12.75198919323367,21.454623471357547,31.50868486353192,44.59507670353017
34,r,r,21.422450728365643,26.032777691068688,28.1255338789519,32.02817003362691,36.674816625897215
34,b,r,7.684426229508204,19.16338151555054,28.627515131703873,39.56590549400959,57.692307692316014
36,r,r,11.63512255662483,12.41220785023819,13.189293143851547,13.966378437464906,14.743463731078265
36,b,r,6.626027034190123,16.404703042720303,35.41692730637723,53.4492041773028,86.50519031145015
23,r,b,7.687576875769206,9.056998042704485,9.499630348013216,13.177561308839735,13.47708894878724
23,b,b,7.357990777984165,7.357990777984165,7.357990777984165,7.357990777984165,7.357990777984165
26,b,b,8.259911894272987,16.689566438685976,20.828993959589585,26.61784147251815,30.487804878051147
28,r,b,8.31047951466781,15.160251891027922,18.941785578986266,23.135675293374632,30.7427447122567
28,b,b,7.9948832747043825,14.621182120204086,23.644397798356415,33.77414684717789,51.65289256199769
30,r,b,9.926543577525191,15.42379375602411,20.760824772124227,29.227631885226824,38.27018752392637
33,r,b,9.900990099009434,19.974960176190034,26.27892696161615,32.18327035912455,40.010669511871704
35,r,b,9.444654325651763,17.325017325016326,20.623659462136,26.08922515001654,33.1376633213412
37,r,b,7.86575773466208,22.98220494331733,30.145587085773585,37.97704896782576,51.519835136507126
40,r,b,9.972078181093146,22.002738118521172,25.03003604324863,32.58390355164561,40.177727358670545
18,r,k,7.750135627373467,9.196940389262775,10.382809522856107,13.514280794523355,16.21621621621602
34,r,k,6.931608133087099,8.455467869223176,11.485451761102501,23.04855562384442,23.04855562384442
37,r,k,15.782828282828252,19.9309061918644,22.053148086890605,25.145067698259385,29.088216627879557
37,b,k,11.094674556213219,18.12382195157123,29.02757619738183,40.60089321964765,55.762081784420836
39,r,k,13.279036827195343,20.877390651648643,24.1550376088647,29.30676925025876,30.395136778123977
39,b,k,10.744216030370504,12.498266557809485,17.59384756598315,51.1173187759612,66.0501981505841
41,r,k,15.436863229393166,23.16855252487973,28.02060900342179,32.87595354487229,33.18951211418783
41,b,k,9.784735812133427,19.013027820109734,20.717475265555745,29.638586106499275,34.5462920313239
44,r,k,17.21763085398912,27.139201433140016,31.410323526330867,36.91822685662987,45.6829602558265
44,b,k,11.684062938151287,14.085560857614453,15.031900468383022,16.421489537129776,17.91151710549875
46,r,k,8.06798623063763,17.6947720714788,25.415408943831835,33.61219190817584,43.66812227074082
46,b,k,12.632642748862795,15.738568076460801,19.2644483362513,84.06186953596753,115.56240369788036
48,r,k,21.252479455934495,26.29203498702084,33.39317018792451,45.680242044016744,49.56383822362327
48,b,k,10.135135135133453,13.769047181932704,15.900779138177013,22.48201438848917,28.441410693968884
