MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 34 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 13 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 23 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 12 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 22 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 33 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 21 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 32 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 31 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 44 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 43 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 41 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 42 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 52 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 51 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 53 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 54 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 61 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 62 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 71 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 63 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 72 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 82 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 73 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 83 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 64 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 74 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 84 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 85 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 75 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 65 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 86 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 76 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 87 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 77 	Unit        
[ms]        	[µV]        	            
5016.760    	-15.26      	0           
5016.800    	-15.26      	0           
5016.840    	-15.26      	0           
5016.880    	-15.26      	0           
5016.920    	-15.26      	0           
5016.960    	-15.26      	0           
5017.000    	-15.26      	0           
5017.040    	0.00        	0           
5017.080    	0.00        	0           
5017.120    	0.00        	0           
5017.160    	0.00        	0           
5017.200    	0.00        	0           
5017.240    	0.00        	0           
5017.280    	0.00        	0           
5017.320    	0.00        	0           
5017.360    	0.00        	0           
5017.400    	0.00        	0           
5017.440    	0.00        	0           
5017.480    	0.00        	0           
5017.520    	0.00        	0           
5017.560    	0.00        	0           
5017.600    	0.00        	0           
5017.640    	-15.26      	0           
5017.680    	-30.52      	0           
5017.720    	-61.04      	0           
5017.760    	-91.55      	0           
5017.800    	-91.55      	0           
5017.840    	-106.81     	0           
5017.880    	-76.29      	0           
5017.920    	-45.78      	0           
5017.960    	-30.52      	0           
5018.000    	-15.26      	0           
5018.040    	0.00        	0           
5018.080    	0.00        	0           
5018.120    	0.00        	0           
5018.160    	15.26       	0           
5018.200    	15.26       	0           
5018.240    	30.52       	0           
5018.280    	30.52       	0           
5018.320    	30.52       	0           
5018.360    	30.52       	0           
5018.400    	30.52       	0           
5018.440    	30.52       	0           
5018.480    	30.52       	0           
5018.520    	15.26       	0           
5018.560    	15.26       	0           
5018.600    	15.26       	0           
5018.640    	15.26       	0           
5018.680    	15.26       	0           
5018.720    	15.26       	0           
5018.760    	15.26       	0           
5018.800    	15.26       	0           
5018.840    	15.26       	0           
5018.880    	15.26       	0           
5018.920    	0.00        	0           
5018.960    	0.00        	0           
5019.000    	0.00        	0           
5019.040    	0.00        	0           
5019.080    	0.00        	0           
5019.120    	0.00        	0           
5019.160    	0.00        	0           
5019.200    	15.26       	0           
5019.240    	15.26       	0           
5019.280    	15.26       	0           
5019.320    	15.26       	0           
5019.360    	0.00        	0           
5019.400    	-15.26      	0           
5019.440    	0.00        	0           
5019.480    	0.00        	0           
5019.520    	0.00        	0           
5019.560    	0.00        	0           
5019.600    	-15.26      	0           
5019.640    	-15.26      	0           
5019.680    	-15.26      	0           
5019.720    	-15.26      	0           

5138.360    	-15.26      	0           
5138.400    	-15.26      	0           
5138.440    	0.00        	0           
5138.480    	0.00        	0           
5138.520    	0.00        	0           
5138.560    	0.00        	0           
5138.600    	0.00        	0           
5138.640    	-15.26      	0           
5138.680    	-15.26      	0           
5138.720    	-15.26      	0           
5138.760    	-15.26      	0           
5138.800    	-15.26      	0           
5138.840    	-15.26      	0           
5138.880    	0.00        	0           
5138.920    	0.00        	0           
5138.960    	0.00        	0           
5139.000    	0.00        	0           
5139.040    	0.00        	0           
5139.080    	0.00        	0           
5139.120    	0.00        	0           
5139.160    	0.00        	0           
5139.200    	-15.26      	0           
5139.240    	-15.26      	0           
5139.280    	-45.78      	0           
5139.320    	-61.04      	0           
5139.360    	-76.29      	0           
5139.400    	-91.55      	0           
5139.440    	-91.55      	0           
5139.480    	-61.04      	0           
5139.520    	-45.78      	0           
5139.560    	-30.52      	0           
5139.600    	-15.26      	0           
5139.640    	-15.26      	0           
5139.680    	0.00        	0           
5139.720    	0.00        	0           
5139.760    	15.26       	0           
5139.800    	15.26       	0           
5139.840    	15.26       	0           
5139.880    	15.26       	0           
5139.920    	30.52       	0           
5139.960    	30.52       	0           
5140.000    	30.52       	0           
5140.040    	30.52       	0           
5140.080    	30.52       	0           
5140.120    	0.00        	0           
5140.160    	0.00        	0           
5140.200    	0.00        	0           
5140.240    	15.26       	0           
5140.280    	15.26       	0           
5140.320    	15.26       	0           
5140.360    	15.26       	0           
5140.400    	15.26       	0           
5140.440    	15.26       	0           
5140.480    	15.26       	0           
5140.520    	15.26       	0           
5140.560    	0.00        	0           
5140.600    	0.00        	0           
5140.640    	0.00        	0           
5140.680    	0.00        	0           
5140.720    	0.00        	0           
5140.760    	-15.26      	0           
5140.800    	-15.26      	0           
5140.840    	-15.26      	0           
5140.880    	-15.26      	0           
5140.920    	0.00        	0           
5140.960    	0.00        	0           
5141.000    	0.00        	0           
5141.040    	0.00        	0           
5141.080    	0.00        	0           
5141.120    	0.00        	0           
5141.160    	0.00        	0           
5141.200    	0.00        	0           
5141.240    	0.00        	0           
5141.280    	0.00        	0           
5141.320    	0.00        	0           

5281.280    	0.00        	0           
5281.320    	0.00        	0           
5281.360    	0.00        	0           
5281.400    	0.00        	0           
5281.440    	0.00        	0           
5281.480    	0.00        	0           
5281.520    	0.00        	0           
5281.560    	0.00        	0           
5281.600    	0.00        	0           
5281.640    	0.00        	0           
5281.680    	0.00        	0           
5281.720    	0.00        	0           
5281.760    	-15.26      	0           
5281.800    	-15.26      	0           
5281.840    	-15.26      	0           
5281.880    	-15.26      	0           
5281.920    	-15.26      	0           
5281.960    	-15.26      	0           
5282.000    	-15.26      	0           
5282.040    	-15.26      	0           
5282.080    	-15.26      	0           
5282.120    	-30.52      	0           
5282.160    	-30.52      	0           
5282.200    	-45.78      	0           
5282.240    	-61.04      	0           
5282.280    	-76.29      	0           
5282.320    	-76.29      	0           
5282.360    	-61.04      	0           
5282.400    	-45.78      	0           
5282.440    	-30.52      	0           
5282.480    	-15.26      	0           
5282.520    	0.00        	0           
5282.560    	0.00        	0           
5282.600    	0.00        	0           
5282.640    	15.26       	0           
5282.680    	15.26       	0           
5282.720    	15.26       	0           
5282.760    	15.26       	0           
5282.800    	15.26       	0           
5282.840    	30.52       	0           
5282.880    	30.52       	0           
5282.920    	30.52       	0           
5282.960    	30.52       	0           
5283.000    	30.52       	0           
5283.040    	15.26       	0           
5283.080    	15.26       	0           
5283.120    	15.26       	0           
5283.160    	15.26       	0           
5283.200    	15.26       	0           
5283.240    	15.26       	0           
5283.280    	15.26       	0           
5283.320    	15.26       	0           
5283.360    	15.26       	0           
5283.400    	15.26       	0           
5283.440    	0.00        	0           
5283.480    	0.00        	0           
5283.520    	-15.26      	0           
5283.560    	-15.26      	0           
5283.600    	0.00        	0           
5283.640    	0.00        	0           
5283.680    	0.00        	0           
5283.720    	0.00        	0           
5283.760    	0.00        	0           
5283.800    	0.00        	0           
5283.840    	0.00        	0           
5283.880    	0.00        	0           
5283.920    	0.00        	0           
5283.960    	0.00        	0           
5284.000    	0.00        	0           
5284.040    	0.00        	0           
5284.080    	0.00        	0           
5284.120    	0.00        	0           
5284.160    	0.00        	0           
5284.200    	-15.26      	0           
5284.240    	-15.26      	0           

5510.400    	-15.26      	0           
5510.440    	-15.26      	0           
