MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 34 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 13 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 23 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 12 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 22 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 33 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 21 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 32 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 31 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 44 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 43 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 41 	Unit        
[ms]        	[µV]        	            
8516.401    	-15.26      	0           
8516.441    	0.00        	0           
8516.481    	0.00        	0           
8516.521    	0.00        	0           
8516.561    	0.00        	0           
8516.601    	0.00        	0           
8516.641    	-15.26      	0           
8516.681    	-15.26      	0           
8516.721    	0.00        	0           
8516.761    	0.00        	0           
8516.801    	0.00        	0           
8516.841    	0.00        	0           
8516.881    	0.00        	0           
8516.921    	0.00        	0           
8516.961    	0.00        	0           
8517.001    	0.00        	0           
8517.041    	0.00        	0           
8517.081    	0.00        	0           
8517.121    	0.00        	0           
8517.161    	0.00        	0           
8517.201    	0.00        	0           
8517.241    	0.00        	0           
8517.281    	-15.26      	0           
8517.321    	-30.52      	0           
8517.361    	-61.04      	0           
8517.401    	-91.55      	0           
8517.441    	-91.55      	0           
8517.481    	-91.55      	0           
8517.521    	-61.04      	0           
8517.561    	-45.78      	0           
8517.601    	-45.78      	0           
8517.641    	-30.52      	0           
8517.681    	-15.26      	0           
8517.721    	0.00        	0           
8517.761    	15.26       	0           
8517.801    	15.26       	0           
8517.841    	15.26       	0           
8517.881    	15.26       	0           
8517.921    	15.26       	0           
8517.961    	30.52       	0           
8518.001    	15.26       	0           
8518.041    	15.26       	0           
8518.081    	15.26       	0           
8518.121    	15.26       	0           
8518.161    	15.26       	0           
8518.201    	15.26       	0           
8518.241    	15.26       	0           
8518.281    	30.52       	0           
8518.321    	30.52       	0           
8518.361    	30.52       	0           
8518.401    	30.52       	0           
8518.441    	15.26       	0           
8518.481    	15.26       	0           
8518.521    	15.26       	0           
8518.561    	30.52       	0           
8518.601    	30.52       	0           
8518.641    	30.52       	0           
8518.681    	15.26       	0           
8518.721    	15.26       	0           
8518.761    	15.26       	0           
8518.801    	15.26       	0           
8518.841    	15.26       	0           
8518.881    	15.26       	0           
8518.921    	15.26       	0           
8518.961    	15.26       	0           
8519.001    	0.00        	0           
8519.041    	0.00        	0           
8519.081    	0.00        	0           
8519.121    	0.00        	0           
8519.161    	0.00        	0           
8519.201    	-15.26      	0           
8519.241    	-15.26      	0           
8519.281    	-15.26      	0           
8519.321    	-15.26      	0           
8519.361    	-15.26      	0           

8546.081    	-15.26      	0           
8546.121    	-15.26      	0           
8546.161    	-15.26      	0           
8546.201    	-15.26      	0           
8546.241    	-15.26      	0           
8546.281    	-15.26      	0           
8546.321    	-15.26      	0           
8546.361    	-15.26      	0           
8546.401    	-15.26      	0           
8546.441    	-15.26      	0           
8546.481    	-15.26      	0           
8546.521    	-15.26      	0           
8546.561    	-15.26      	0           
8546.601    	-15.26      	0           
8546.641    	-30.52      	0           
8546.681    	-30.52      	0           
8546.721    	-30.52      	0           
8546.761    	0.00        	0           
8546.801    	0.00        	0           
8546.841    	0.00        	0           
8546.881    	0.00        	0           
8546.921    	-15.26      	0           
8546.961    	-15.26      	0           
8547.001    	-30.52      	0           
8547.041    	-45.78      	0           
8547.081    	-76.29      	0           
8547.121    	-91.55      	0           
8547.161    	-106.81     	0           
8547.201    	-91.55      	0           
8547.241    	-91.55      	0           
8547.281    	-61.04      	0           
8547.321    	-45.78      	0           
8547.361    	-45.78      	0           
8547.401    	-30.52      	0           
8547.441    	0.00        	0           
8547.481    	15.26       	0           
8547.521    	30.52       	0           
8547.561    	30.52       	0           
8547.601    	45.78       	0           
8547.641    	30.52       	0           
8547.681    	30.52       	0           
8547.721    	45.78       	0           
8547.761    	45.78       	0           
8547.801    	45.78       	0           
8547.841    	45.78       	0           
8547.881    	30.52       	0           
8547.921    	30.52       	0           
8547.961    	30.52       	0           
8548.001    	30.52       	0           
8548.041    	30.52       	0           
8548.081    	30.52       	0           
8548.121    	30.52       	0           
8548.161    	15.26       	0           
8548.201    	15.26       	0           
8548.241    	15.26       	0           
8548.281    	15.26       	0           
8548.321    	15.26       	0           
8548.361    	0.00        	0           
8548.401    	0.00        	0           
8548.441    	0.00        	0           
8548.481    	0.00        	0           
8548.521    	0.00        	0           
8548.561    	0.00        	0           
8548.601    	0.00        	0           
8548.641    	0.00        	0           
8548.681    	0.00        	0           
8548.721    	0.00        	0           
8548.761    	0.00        	0           
8548.801    	0.00        	0           
8548.841    	0.00        	0           
8548.881    	-15.26      	0           
8548.921    	-15.26      	0           
8548.961    	-15.26      	0           
8549.001    	-15.26      	0           
8549.041    	0.00        	0           

8579.401    	-15.26      	0           
8579.441    	-30.52      	0           
8579.481    	-15.26      	0           
8579.521    	-15.26      	0           
8579.561    	-15.26      	0           
8579.601    	0.00        	0           
8579.641    	0.00        	0           
8579.681    	-15.26      	0           
8579.721    	-15.26      	0           
8579.761    	-15.26      	0           
8579.801    	-15.26      	0           
8579.841    	-15.26      	0           
8579.881    	-15.26      	0           
8579.921    	-15.26      	0           
8579.961    	0.00        	0           
8580.001    	0.00        	0           
8580.041    	0.00        	0           
8580.081    	0.00        	0           
8580.121    	0.00        	0           
8580.161    	0.00        	0           
8580.201    	-15.26      	0           
8580.241    	-15.26      	0           
8580.281    	-30.52      	0           
8580.321    	-61.04      	0           
8580.361    	-61.04      	0           
8580.401    	-91.55      	0           
8580.441    	-91.55      	0           
8580.481    	-76.29      	0           
8580.521    	-61.04      	0           
8580.561    	-45.78      	0           
8580.601    	-30.52      	0           
8580.641    	-15.26      	0           
8580.681    	0.00        	0           
8580.721    	0.00        	0           
8580.761    	0.00        	0           
8580.801    	15.26       	0           
8580.841    	15.26       	0           
8580.881    	15.26       	0           
8580.921    	15.26       	0           
8580.961    	15.26       	0           
8581.001    	30.52       	0           
8581.041    	30.52       	0           
8581.081    	30.52       	0           
8581.121    	30.52       	0           
8581.161    	30.52       	0           
8581.201    	30.52       	0           
8581.241    	30.52       	0           
8581.281    	30.52       	0           
8581.321    	30.52       	0           
8581.361    	15.26       	0           
8581.401    	15.26       	0           
8581.441    	15.26       	0           
8581.481    	15.26       	0           
8581.521    	15.26       	0           
8581.561    	15.26       	0           
8581.601    	15.26       	0           
8581.641    	15.26       	0           
8581.681    	15.26       	0           
8581.721    	15.26       	0           
8581.761    	15.26       	0           
8581.801    	15.26       	0           
8581.841    	0.00        	0           
8581.881    	0.00        	0           
8581.921    	0.00        	0           
8581.961    	0.00        	0           
8582.001    	0.00        	0           
8582.041    	0.00        	0           
8582.081    	0.00        	0           
8582.121    	0.00        	0           
8582.161    	0.00        	0           
8582.201    	15.26       	0           
8582.241    	15.26       	0           
8582.281    	0.00        	0           
8582.321    	-15.26      	0           
8582.361    	-30.52      	0           

8615.881    	-15.26      	0           
8615.921    	-15.26      	0           
8615.961    	-15.26      	0           
8616.001    	-15.26      	0           
8616.041    	-30.52      	0           
8616.081    	-15.26      	0           
8616.121    	-15.26      	0           
8616.161    	-15.26      	0           
8616.201    	0.00        	0           
8616.241    	0.00        	0           
8616.281    	0.00        	0           
8616.321    	0.00        	0           
8616.361    	0.00        	0           
8616.401    	0.00        	0           
8616.441    	0.00        	0           
8616.481    	0.00        	0           
8616.521    	0.00        	0           
8616.561    	0.00        	0           
8616.601    	-15.26      	0           
8616.641    	-15.26      	0           
8616.681    	-15.26      	0           
8616.721    	-15.26      	0           
8616.761    	-30.52      	0           
8616.801    	-30.52      	0           
8616.841    	-45.78      	0           
8616.881    	-76.29      	0           
8616.921    	-91.55      	0           
8616.961    	-91.55      	0           
8617.001    	-76.29      	0           
8617.041    	-61.04      	0           
8617.081    	-61.04      	0           
8617.121    	-30.52      	0           
8617.161    	-15.26      	0           
8617.201    	-15.26      	0           
8617.241    	0.00        	0           
8617.281    	0.00        	0           
8617.321    	0.00        	0           
8617.361    	15.26       	0           
8617.401    	15.26       	0           
8617.441    	15.26       	0           
8617.481    	15.26       	0           
8617.521    	15.26       	0           
8617.561    	30.52       	0           
8617.601    	30.52       	0           
8617.641    	30.52       	0           
8617.681    	45.78       	0           
8617.721    	30.52       	0           
8617.761    	30.52       	0           
8617.801    	30.52       	0           
8617.841    	30.52       	0           
8617.881    	30.52       	0           
8617.921    	15.26       	0           
8617.961    	15.26       	0           
8618.001    	15.26       	0           
8618.041    	0.00        	0           
8618.081    	0.00        	0           
