MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 34 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 13 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 23 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 12 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 22 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 33 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 21 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 32 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 31 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 44 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 43 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 41 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 42 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 52 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 51 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 53 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 54 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 61 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 62 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 71 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 63 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 72 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 82 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 73 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 83 	Unit        
[ms]        	[µV]        	            
774368.160  	15.26       	0           
774368.200  	15.26       	0           
774368.240  	15.26       	0           
774368.280  	15.26       	0           
774368.320  	30.52       	0           
774368.360  	15.26       	0           
774368.400  	15.26       	0           
774368.440  	0.00        	0           
774368.480  	0.00        	0           
774368.520  	15.26       	0           
774368.560  	15.26       	0           
774368.600  	30.52       	0           
774368.640  	15.26       	0           
774368.680  	0.00        	0           
774368.720  	0.00        	0           
774368.760  	0.00        	0           
774368.800  	0.00        	0           
774368.840  	0.00        	0           
774368.880  	0.00        	0           
774368.920  	0.00        	0           
774368.960  	0.00        	0           
774369.000  	0.00        	0           
774369.040  	-15.26      	0           
774369.080  	-30.52      	0           
774369.120  	-76.29      	0           
774369.160  	-91.55      	0           
774369.200  	-122.07     	0           
774369.240  	-106.81     	0           
774369.280  	-91.55      	0           
774369.320  	-76.29      	0           
774369.360  	-45.78      	0           
774369.400  	-30.52      	0           
774369.440  	-30.52      	0           
774369.480  	-30.52      	0           
774369.520  	-30.52      	0           
774369.560  	-30.52      	0           
774369.600  	-15.26      	0           
774369.640  	-15.26      	0           
774369.680  	-15.26      	0           
774369.720  	0.00        	0           
774369.760  	0.00        	0           
774369.800  	15.26       	0           
774369.840  	15.26       	0           
774369.880  	15.26       	0           
774369.920  	15.26       	0           
774369.960  	15.26       	0           
774370.000  	15.26       	0           
774370.040  	15.26       	0           
774370.080  	15.26       	0           
774370.120  	15.26       	0           
774370.160  	0.00        	0           
774370.200  	15.26       	0           
774370.240  	15.26       	0           
774370.280  	0.00        	0           
774370.320  	0.00        	0           
774370.360  	0.00        	0           
774370.400  	15.26       	0           
774370.440  	0.00        	0           
774370.480  	0.00        	0           
774370.520  	0.00        	0           
774370.560  	0.00        	0           
774370.600  	0.00        	0           
774370.640  	0.00        	0           
774370.680  	0.00        	0           
774370.720  	0.00        	0           
774370.760  	15.26       	0           
774370.800  	15.26       	0           
774370.840  	15.26       	0           
774370.880  	15.26       	0           
774370.920  	0.00        	0           
774370.960  	0.00        	0           
774371.000  	0.00        	0           
774371.040  	0.00        	0           
774371.080  	0.00        	0           
774371.120  	0.00        	0           

785728.480  	0.00        	0           
785728.520  	0.00        	0           
785728.560  	0.00        	0           
785728.600  	0.00        	0           
785728.640  	-15.26      	0           
785728.680  	-15.26      	0           
785728.720  	-15.26      	0           
785728.760  	0.00        	0           
785728.800  	0.00        	0           
785728.840  	-15.26      	0           
785728.880  	-30.52      	0           
785728.920  	-30.52      	0           
785728.960  	-30.52      	0           
785729.000  	-30.52      	0           
785729.040  	-30.52      	0           
785729.080  	-30.52      	0           
785729.120  	-30.52      	0           
785729.160  	-30.52      	0           
785729.200  	-15.26      	0           
785729.240  	-15.26      	0           
785729.280  	15.26       	0           
785729.320  	15.26       	0           
785729.360  	0.00        	0           
785729.400  	-45.78      	0           
785729.440  	-76.29      	0           
785729.480  	-91.55      	0           
785729.520  	-91.55      	0           
785729.560  	-76.29      	0           
785729.600  	-91.55      	0           
785729.640  	-76.29      	0           
785729.680  	-61.04      	0           
785729.720  	-45.78      	0           
785729.760  	-15.26      	0           
785729.800  	0.00        	0           
785729.840  	15.26       	0           
785729.880  	15.26       	0           
785729.920  	15.26       	0           
785729.960  	15.26       	0           
785730.000  	30.52       	0           
785730.040  	30.52       	0           
785730.080  	15.26       	0           
785730.120  	15.26       	0           
785730.160  	0.00        	0           
785730.200  	15.26       	0           
785730.240  	15.26       	0           
785730.280  	30.52       	0           
785730.320  	30.52       	0           
785730.360  	30.52       	0           
785730.400  	15.26       	0           
785730.440  	15.26       	0           
785730.480  	0.00        	0           
785730.520  	0.00        	0           
785730.560  	-15.26      	0           
785730.600  	0.00        	0           
785730.640  	0.00        	0           
785730.680  	0.00        	0           
785730.720  	0.00        	0           
785730.760  	0.00        	0           
785730.800  	15.26       	0           
785730.840  	15.26       	0           
785730.880  	15.26       	0           
785730.920  	15.26       	0           
785730.960  	15.26       	0           
785731.000  	15.26       	0           
785731.040  	15.26       	0           
785731.080  	15.26       	0           
785731.120  	15.26       	0           
785731.160  	15.26       	0           
785731.200  	30.52       	0           
785731.240  	15.26       	0           
785731.280  	15.26       	0           
785731.320  	15.26       	0           
785731.360  	0.00        	0           
785731.400  	0.00        	0           
785731.440  	-15.26      	0           

820338.360  	15.26       	0           
820338.400  	30.52       	0           
820338.440  	30.52       	0           
820338.480  	15.26       	0           
820338.520  	15.26       	0           
820338.560  	15.26       	0           
820338.600  	0.00        	0           
820338.640  	0.00        	0           
820338.680  	0.00        	0           
820338.720  	0.00        	0           
820338.760  	0.00        	0           
820338.800  	0.00        	0           
820338.840  	15.26       	0           
820338.880  	15.26       	0           
820338.920  	0.00        	0           
820338.960  	-15.26      	0           
820339.000  	-30.52      	0           
820339.040  	-30.52      	0           
820339.080  	-15.26      	0           
820339.120  	-15.26      	0           
820339.160  	0.00        	0           
820339.200  	0.00        	0           
820339.240  	0.00        	0           
820339.280  	-15.26      	0           
820339.320  	-45.78      	0           
820339.360  	-91.55      	0           
820339.400  	-122.07     	0           
820339.440  	-106.81     	0           
820339.480  	-91.55      	0           
820339.520  	-61.04      	0           
820339.560  	-61.04      	0           
820339.600  	-45.78      	0           
820339.640  	-30.52      	0           
820339.680  	-30.52      	0           
820339.720  	-30.52      	0           
820339.760  	-15.26      	0           
820339.800  	0.00        	0           
820339.840  	15.26       	0           
820339.880  	15.26       	0           
820339.920  	15.26       	0           
820339.960  	30.52       	0           
820340.000  	30.52       	0           
820340.040  	45.78       	0           
820340.080  	61.04       	0           
820340.120  	45.78       	0           
820340.160  	30.52       	0           
820340.200  	30.52       	0           
820340.240  	30.52       	0           
820340.280  	30.52       	0           
820340.320  	30.52       	0           
820340.360  	30.52       	0           
820340.400  	30.52       	0           
820340.440  	30.52       	0           
820340.480  	30.52       	0           
820340.520  	30.52       	0           
820340.560  	15.26       	0           
820340.600  	15.26       	0           
820340.640  	15.26       	0           
820340.680  	15.26       	0           
820340.720  	15.26       	0           
820340.760  	15.26       	0           
820340.800  	15.26       	0           
820340.840  	0.00        	0           
820340.880  	0.00        	0           
820340.920  	0.00        	0           
820340.960  	0.00        	0           
820341.000  	-15.26      	0           
820341.040  	-15.26      	0           
820341.080  	-15.26      	0           
820341.120  	-15.26      	0           
820341.160  	0.00        	0           
820341.200  	15.26       	0           
820341.240  	15.26       	0           
820341.280  	15.26       	0           
820341.320  	0.00        	0           

851595.000  	0.00        	0           
851595.040  	0.00        	0           
851595.080  	0.00        	0           
851595.120  	0.00        	0           
851595.160  	0.00        	0           
851595.200  	0.00        	0           
851595.240  	0.00        	0           
851595.280  	-15.26      	0           
851595.320  	0.00        	0           
851595.360  	0.00        	0           
851595.400  	-15.26      	0           
851595.440  	-15.26      	0           
851595.480  	-15.26      	0           
851595.520  	-15.26      	0           
851595.560  	-15.26      	0           
851595.600  	-15.26      	0           
851595.640  	-15.26      	0           
851595.680  	0.00        	0           
851595.720  	0.00        	0           
851595.760  	-15.26      	0           
851595.800  	-30.52      	0           
851595.840  	-30.52      	0           
851595.880  	-30.52      	0           
851595.920  	-61.04      	0           
851595.960  	-76.29      	0           
851596.000  	-91.55      	0           
