MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            
115605.320  	0.00        	0           
115605.360  	0.00        	0           
115605.400  	0.00        	0           
115605.440  	0.00        	0           
115605.480  	0.00        	0           
115605.520  	0.00        	0           
115605.560  	0.00        	0           
115605.600  	0.00        	0           
115605.640  	0.00        	0           
115605.680  	0.00        	0           
115605.720  	0.00        	0           
115605.760  	0.00        	0           
115605.800  	-15.26      	0           
115605.840  	-15.26      	0           
115605.880  	-15.26      	0           
115605.920  	-15.26      	0           
115605.960  	0.00        	0           
115606.000  	0.00        	0           
115606.040  	0.00        	0           
115606.080  	-15.26      	0           
115606.120  	-15.26      	0           
115606.160  	-30.52      	0           
115606.200  	-61.04      	0           
115606.240  	-76.29      	0           
115606.280  	-76.29      	0           
115606.320  	-91.55      	0           
115606.360  	-76.29      	0           
115606.400  	-61.04      	0           
115606.440  	-61.04      	0           
115606.480  	-45.78      	0           
115606.520  	-15.26      	0           
115606.560  	-15.26      	0           
115606.600  	0.00        	0           
115606.640  	0.00        	0           
115606.680  	0.00        	0           
115606.720  	15.26       	0           
115606.760  	15.26       	0           
115606.800  	30.52       	0           
115606.840  	30.52       	0           
115606.880  	30.52       	0           
115606.920  	30.52       	0           
115606.960  	30.52       	0           
115607.000  	30.52       	0           
115607.040  	30.52       	0           
115607.080  	30.52       	0           
115607.120  	30.52       	0           
115607.160  	15.26       	0           
115607.200  	15.26       	0           
115607.240  	15.26       	0           
115607.280  	15.26       	0           
115607.320  	0.00        	0           
115607.360  	0.00        	0           
115607.400  	0.00        	0           
115607.440  	15.26       	0           
115607.480  	15.26       	0           
115607.520  	15.26       	0           
115607.560  	15.26       	0           
115607.600  	15.26       	0           
115607.640  	15.26       	0           
115607.680  	15.26       	0           
115607.720  	0.00        	0           
115607.760  	0.00        	0           
115607.800  	0.00        	0           
115607.840  	0.00        	0           
115607.880  	15.26       	0           
115607.920  	15.26       	0           
115607.960  	15.26       	0           
115608.000  	15.26       	0           
115608.040  	15.26       	0           
115608.080  	0.00        	0           
115608.120  	0.00        	0           
115608.160  	0.00        	0           
115608.200  	0.00        	0           
115608.240  	0.00        	0           
115608.280  	-15.26      	0           

115681.760  	0.00        	0           
115681.800  	0.00        	0           
115681.840  	15.26       	0           
115681.880  	15.26       	0           
115681.920  	15.26       	0           
115681.960  	15.26       	0           
115682.000  	15.26       	0           
115682.040  	15.26       	0           
115682.080  	15.26       	0           
115682.120  	0.00        	0           
115682.160  	-15.26      	0           
115682.200  	-15.26      	0           
115682.240  	-15.26      	0           
115682.280  	-15.26      	0           
115682.320  	0.00        	0           
115682.360  	0.00        	0           
115682.400  	0.00        	0           
115682.440  	0.00        	0           
115682.480  	-15.26      	0           
115682.520  	-15.26      	0           
115682.560  	-30.52      	0           
115682.600  	-45.78      	0           
115682.640  	-61.04      	0           
115682.680  	-61.04      	0           
115682.720  	-76.29      	0           
115682.760  	-91.55      	0           
115682.800  	-76.29      	0           
115682.840  	-91.55      	0           
115682.880  	-76.29      	0           
115682.920  	-76.29      	0           
115682.960  	-61.04      	0           
115683.000  	-30.52      	0           
115683.040  	-30.52      	0           
115683.080  	-15.26      	0           
115683.120  	0.00        	0           
115683.160  	0.00        	0           
115683.200  	15.26       	0           
115683.240  	15.26       	0           
115683.280  	15.26       	0           
115683.320  	30.52       	0           
115683.360  	30.52       	0           
115683.400  	30.52       	0           
115683.440  	30.52       	0           
115683.480  	45.78       	0           
115683.520  	30.52       	0           
115683.560  	45.78       	0           
115683.600  	45.78       	0           
115683.640  	45.78       	0           
115683.680  	45.78       	0           
115683.720  	15.26       	0           
115683.760  	15.26       	0           
115683.800  	15.26       	0           
115683.840  	15.26       	0           
115683.880  	15.26       	0           
115683.920  	15.26       	0           
115683.960  	15.26       	0           
115684.000  	15.26       	0           
115684.040  	15.26       	0           
115684.080  	0.00        	0           
115684.120  	0.00        	0           
115684.160  	0.00        	0           
115684.200  	0.00        	0           
115684.240  	0.00        	0           
115684.280  	0.00        	0           
115684.320  	0.00        	0           
115684.360  	0.00        	0           
115684.400  	0.00        	0           
115684.440  	0.00        	0           
115684.480  	0.00        	0           
115684.520  	0.00        	0           
115684.560  	0.00        	0           
115684.600  	15.26       	0           
115684.640  	0.00        	0           
115684.680  	0.00        	0           
115684.720  	0.00        	0           

207527.920  	0.00        	0           
207527.960  	-15.26      	0           
207528.000  	0.00        	0           
207528.040  	0.00        	0           
207528.080  	0.00        	0           
207528.120  	0.00        	0           
207528.160  	0.00        	0           
207528.200  	0.00        	0           
207528.240  	0.00        	0           
207528.280  	-15.26      	0           
207528.320  	-15.26      	0           
207528.360  	-15.26      	0           
207528.400  	0.00        	0           
207528.440  	0.00        	0           
207528.480  	15.26       	0           
207528.520  	15.26       	0           
207528.560  	15.26       	0           
207528.600  	15.26       	0           
207528.640  	15.26       	0           
207528.680  	0.00        	0           
207528.720  	0.00        	0           
207528.760  	-15.26      	0           
207528.800  	-45.78      	0           
207528.840  	-61.04      	0           
207528.880  	-76.29      	0           
207528.920  	-106.81     	0           
207528.960  	-106.81     	0           
207529.000  	-106.81     	0           
207529.040  	-91.55      	0           
207529.080  	-76.29      	0           
207529.120  	-76.29      	0           
207529.160  	-61.04      	0           
207529.200  	-45.78      	0           
207529.240  	-30.52      	0           
207529.280  	-15.26      	0           
207529.320  	0.00        	0           
207529.360  	0.00        	0           
207529.400  	15.26       	0           
207529.440  	30.52       	0           
207529.480  	45.78       	0           
207529.520  	45.78       	0           
207529.560  	45.78       	0           
207529.600  	45.78       	0           
207529.640  	30.52       	0           
207529.680  	30.52       	0           
207529.720  	30.52       	0           
207529.760  	30.52       	0           
207529.800  	45.78       	0           
207529.840  	30.52       	0           
207529.880  	30.52       	0           
207529.920  	45.78       	0           
207529.960  	45.78       	0           
207530.000  	30.52       	0           
207530.040  	30.52       	0           
207530.080  	15.26       	0           
207530.120  	15.26       	0           
207530.160  	15.26       	0           
207530.200  	15.26       	0           
207530.240  	0.00        	0           
207530.280  	0.00        	0           
207530.320  	0.00        	0           
207530.360  	0.00        	0           
207530.400  	15.26       	0           
207530.440  	15.26       	0           
207530.480  	0.00        	0           
207530.520  	0.00        	0           
207530.560  	0.00        	0           
207530.600  	0.00        	0           
207530.640  	0.00        	0           
207530.680  	0.00        	0           
207530.720  	0.00        	0           
207530.760  	0.00        	0           
207530.800  	15.26       	0           
207530.840  	15.26       	0           
207530.880  	15.26       	0           

257555.800  	15.26       	0           
257555.840  	15.26       	0           
257555.880  	15.26       	0           
257555.920  	15.26       	0           
257555.960  	15.26       	0           
257556.000  	0.00        	0           
257556.040  	0.00        	0           
257556.080  	15.26       	0           
257556.120  	15.26       	0           
257556.160  	0.00        	0           
257556.200  	0.00        	0           
257556.240  	0.00        	0           
257556.280  	0.00        	0           
257556.320  	0.00        	0           
257556.360  	0.00        	0           
257556.400  	0.00        	0           
257556.440  	0.00        	0           
257556.480  	0.00        	0           
257556.520  	-15.26      	0           
257556.560  	-15.26      	0           
257556.600  	-30.52      	0           
257556.640  	-45.78      	0           
257556.680  	-61.04      	0           
257556.720  	-76.29      	0           
257556.760  	-76.29      	0           
257556.800  	-91.55      	0           
257556.840  	-91.55      	0           
257556.880  	-91.55      	0           
257556.920  	-91.55      	0           
257556.960  	-61.04      	0           
257557.000  	-45.78      	0           
257557.040  	-45.78      	0           
257557.080  	-15.26      	0           
257557.120  	0.00        	0           
257557.160  	0.00        	0           
257557.200  	15.26       	0           
257557.240  	30.52       	0           
257557.280  	45.78       	0           
257557.320  	45.78       	0           
257557.360  	45.78       	0           
257557.400  	45.78       	0           
257557.440  	45.78       	0           
257557.480  	61.04       	0           
257557.520  	61.04       	0           
257557.560  	45.78       	0           
257557.600  	45.78       	0           
257557.640  	45.78       	0           
257557.680  	45.78       	0           
257557.720  	45.78       	0           
257557.760  	30.52       	0           
257557.800  	30.52       	0           
257557.840  	30.52       	0           
257557.880  	30.52       	0           
257557.920  	30.52       	0           
257557.960  	15.26       	0           
257558.000  	15.26       	0           
257558.040  	15.26       	0           
257558.080  	15.26       	0           
257558.120  	15.26       	0           
257558.160  	15.26       	0           
257558.200  	15.26       	0           
257558.240  	-15.26      	0           
257558.280  	0.00        	0           
257558.320  	0.00        	0           
257558.360  	0.00        	0           
257558.400  	15.26       	0           
257558.440  	15.26       	0           
257558.480  	0.00        	0           
257558.520  	0.00        	0           
257558.560  	0.00        	0           
257558.600  	-30.52      	0           
257558.640  	-30.52      	0           
257558.680  	-15.26      	0           
257558.720  	-15.26      	0           
257558.760  	-15.26      	0           

307771.640  	-45.78      	0           
307771.680  	-15.26      	0           
307771.720  	-15.26      	0           
307771.760  	-15.26      	0           
307771.800  	-15.26      	0           
307771.840  	-15.26      	0           
307771.880  	0.00        	0           
307771.920  	0.00        	0           
307771.960  	0.00        	0           
307772.000  	0.00        	0           
307772.040  	15.26       	0           
307772.080  	15.26       	0           
307772.120  	15.26       	0           
307772.160  	0.00        	0           
307772.200  	0.00        	0           
307772.240  	-15.26      	0           
307772.280  	-15.26      	0           
307772.320  	-15.26      	0           
307772.360  	-15.26      	0           
307772.400  	-15.26      	0           
307772.440  	-15.26      	0           
307772.480  	-30.52      	0           
307772.520  	-45.78      	0           
307772.560  	-61.04      	0           
307772.600  	-76.29      	0           
307772.640  	-91.55      	0           
307772.680  	-91.55      	0           
307772.720  	-91.55      	0           
307772.760  	-76.29      	0           
307772.800  	-76.29      	0           
307772.840  	-61.04      	0           
307772.880  	-45.78      	0           
307772.920  	-30.52      	0           
307772.960  	-15.26      	0           
307773.000  	-15.26      	0           
307773.040  	0.00        	0           
307773.080  	0.00        	0           
307773.120  	15.26       	0           
307773.160  	15.26       	0           
307773.200  	15.26       	0           
307773.240  	30.52       	0           
307773.280  	30.52       	0           
307773.320  	30.52       	0           
307773.360  	30.52       	0           
307773.400  	30.52       	0           
307773.440  	30.52       	0           
