MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            
403858.280  	0.00        	0           
403858.320  	0.00        	0           
403858.360  	0.00        	0           
403858.400  	0.00        	0           
403858.440  	0.00        	0           
403858.480  	0.00        	0           
403858.520  	-15.26      	0           
403858.560  	-15.26      	0           
403858.600  	-15.26      	0           
403858.640  	-15.26      	0           
403858.680  	-15.26      	0           
403858.720  	-15.26      	0           
403858.760  	-15.26      	0           
403858.800  	-15.26      	0           
403858.840  	-15.26      	0           
403858.880  	-15.26      	0           
403858.920  	-15.26      	0           
403858.960  	0.00        	0           
403859.000  	0.00        	0           
403859.040  	-15.26      	0           
403859.080  	-15.26      	0           
403859.120  	-30.52      	0           
403859.160  	-45.78      	0           
403859.200  	-61.04      	0           
403859.240  	-61.04      	0           
403859.280  	-76.29      	0           
403859.320  	-45.78      	0           
403859.360  	-45.78      	0           
403859.400  	-30.52      	0           
403859.440  	-15.26      	0           
403859.480  	-15.26      	0           
403859.520  	-15.26      	0           
403859.560  	0.00        	0           
403859.600  	0.00        	0           
403859.640  	0.00        	0           
403859.680  	0.00        	0           
403859.720  	0.00        	0           
403859.760  	0.00        	0           
403859.800  	15.26       	0           
403859.840  	15.26       	0           
403859.880  	15.26       	0           
403859.920  	15.26       	0           
403859.960  	15.26       	0           
403860.000  	30.52       	0           
403860.040  	30.52       	0           
403860.080  	30.52       	0           
403860.120  	15.26       	0           
403860.160  	15.26       	0           
403860.200  	0.00        	0           
403860.240  	0.00        	0           
403860.280  	0.00        	0           
403860.320  	15.26       	0           
403860.360  	15.26       	0           
403860.400  	0.00        	0           
403860.440  	0.00        	0           
403860.480  	0.00        	0           
403860.520  	15.26       	0           
403860.560  	15.26       	0           
403860.600  	15.26       	0           
403860.640  	15.26       	0           
403860.680  	0.00        	0           
403860.720  	0.00        	0           
403860.760  	0.00        	0           
403860.800  	0.00        	0           
403860.840  	0.00        	0           
403860.880  	0.00        	0           
403860.920  	-15.26      	0           
403860.960  	-15.26      	0           
403861.000  	-15.26      	0           
403861.040  	0.00        	0           
403861.080  	0.00        	0           
403861.120  	0.00        	0           
403861.160  	0.00        	0           
403861.200  	-15.26      	0           
403861.240  	-15.26      	0           

469404.520  	0.00        	0           
469404.560  	0.00        	0           
469404.600  	0.00        	0           
469404.640  	0.00        	0           
469404.680  	0.00        	0           
469404.720  	0.00        	0           
469404.760  	0.00        	0           
469404.800  	0.00        	0           
469404.840  	0.00        	0           
469404.880  	0.00        	0           
469404.920  	0.00        	0           
469404.960  	0.00        	0           
469405.000  	0.00        	0           
469405.040  	0.00        	0           
469405.080  	0.00        	0           
469405.120  	0.00        	0           
469405.160  	0.00        	0           
469405.200  	0.00        	0           
469405.240  	0.00        	0           
469405.280  	0.00        	0           
469405.320  	-15.26      	0           
469405.360  	-15.26      	0           
469405.400  	-30.52      	0           
469405.440  	-45.78      	0           
469405.480  	-61.04      	0           
469405.520  	-76.29      	0           
469405.560  	-45.78      	0           
469405.600  	-45.78      	0           
469405.640  	-30.52      	0           
469405.680  	-30.52      	0           
469405.720  	-15.26      	0           
469405.760  	-15.26      	0           
469405.800  	0.00        	0           
469405.840  	0.00        	0           
469405.880  	0.00        	0           
469405.920  	0.00        	0           
469405.960  	0.00        	0           
469406.000  	0.00        	0           
469406.040  	0.00        	0           
469406.080  	15.26       	0           
469406.120  	15.26       	0           
469406.160  	15.26       	0           
469406.200  	15.26       	0           
469406.240  	15.26       	0           
469406.280  	0.00        	0           
469406.320  	0.00        	0           
469406.360  	15.26       	0           
469406.400  	15.26       	0           
469406.440  	15.26       	0           
469406.480  	15.26       	0           
469406.520  	0.00        	0           
469406.560  	0.00        	0           
469406.600  	0.00        	0           
469406.640  	0.00        	0           
469406.680  	0.00        	0           
469406.720  	0.00        	0           
469406.760  	0.00        	0           
469406.800  	-15.26      	0           
469406.840  	0.00        	0           
469406.880  	0.00        	0           
469406.920  	0.00        	0           
469406.960  	0.00        	0           
469407.000  	0.00        	0           
469407.040  	0.00        	0           
469407.080  	0.00        	0           
469407.120  	0.00        	0           
469407.160  	0.00        	0           
469407.200  	0.00        	0           
469407.240  	0.00        	0           
469407.280  	0.00        	0           
469407.320  	0.00        	0           
469407.360  	0.00        	0           
469407.400  	0.00        	0           
469407.440  	0.00        	0           
469407.480  	-15.26      	0           


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            
523283.400  	0.00        	0           
523283.440  	0.00        	0           
523283.480  	0.00        	0           
523283.520  	0.00        	0           
523283.560  	0.00        	0           
523283.600  	0.00        	0           
523283.640  	0.00        	0           
523283.680  	0.00        	0           
523283.720  	0.00        	0           
523283.760  	0.00        	0           
523283.800  	0.00        	0           
523283.840  	0.00        	0           
523283.880  	0.00        	0           
523283.920  	0.00        	0           
523283.960  	0.00        	0           
523284.000  	-15.26      	0           
523284.040  	0.00        	0           
523284.080  	0.00        	0           
523284.120  	0.00        	0           
523284.160  	-15.26      	0           
523284.200  	-15.26      	0           
523284.240  	-15.26      	0           
523284.280  	-30.52      	0           
523284.320  	-45.78      	0           
523284.360  	-61.04      	0           
523284.400  	-76.29      	0           
523284.440  	-61.04      	0           
523284.480  	-45.78      	0           
523284.520  	-30.52      	0           
523284.560  	-30.52      	0           
523284.600  	-15.26      	0           
523284.640  	-15.26      	0           
523284.680  	0.00        	0           
523284.720  	0.00        	0           
523284.760  	0.00        	0           
523284.800  	0.00        	0           
523284.840  	0.00        	0           
523284.880  	0.00        	0           
523284.920  	0.00        	0           
523284.960  	15.26       	0           
523285.000  	15.26       	0           
523285.040  	15.26       	0           
523285.080  	0.00        	0           
523285.120  	0.00        	0           
523285.160  	0.00        	0           
523285.200  	15.26       	0           
523285.240  	15.26       	0           
523285.280  	15.26       	0           
523285.320  	15.26       	0           
523285.360  	15.26       	0           
523285.400  	15.26       	0           
523285.440  	0.00        	0           
523285.480  	0.00        	0           
523285.520  	0.00        	0           
523285.560  	0.00        	0           
523285.600  	0.00        	0           
523285.640  	0.00        	0           
523285.680  	0.00        	0           
523285.720  	0.00        	0           
523285.760  	0.00        	0           
523285.800  	0.00        	0           
523285.840  	0.00        	0           
523285.880  	0.00        	0           
523285.920  	15.26       	0           
523285.960  	0.00        	0           
523286.000  	0.00        	0           
523286.040  	0.00        	0           
523286.080  	0.00        	0           
523286.120  	0.00        	0           
523286.160  	-15.26      	0           
523286.200  	-15.26      	0           
523286.240  	-15.26      	0           
523286.280  	-15.26      	0           
523286.320  	-15.26      	0           
523286.360  	-15.26      	0           


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            
114442.400  	0.00        	0           
114442.440  	0.00        	0           
114442.480  	0.00        	0           
114442.520  	0.00        	0           
114442.560  	0.00        	0           
114442.600  	0.00        	0           
114442.640  	-15.26      	0           
114442.680  	-15.26      	0           
114442.720  	-15.26      	0           
114442.760  	-15.26      	0           
114442.800  	-15.26      	0           
114442.840  	-15.26      	0           
114442.880  	-15.26      	0           
114442.920  	-15.26      	0           
114442.960  	-15.26      	0           
114443.000  	-15.26      	0           
114443.040  	-15.26      	0           
114443.080  	-15.26      	0           
114443.120  	-15.26      	0           
114443.160  	-15.26      	0           
114443.200  	-15.26      	0           
114443.240  	-30.52      	0           
114443.280  	-45.78      	0           
114443.320  	-45.78      	0           
114443.360  	-61.04      	0           
114443.400  	-76.29      	0           
114443.440  	-61.04      	0           
114443.480  	-15.26      	0           
114443.520  	-15.26      	0           
114443.560  	0.00        	0           
114443.600  	0.00        	0           
114443.640  	0.00        	0           
114443.680  	0.00        	0           
114443.720  	0.00        	0           
114443.760  	0.00        	0           
114443.800  	0.00        	0           
114443.840  	15.26       	0           
114443.880  	15.26       	0           
114443.920  	15.26       	0           
114443.960  	0.00        	0           
114444.000  	0.00        	0           
114444.040  	15.26       	0           
114444.080  	15.26       	0           
114444.120  	15.26       	0           
114444.160  	15.26       	0           
114444.200  	0.00        	0           
114444.240  	0.00        	0           
114444.280  	0.00        	0           
114444.320  	0.00        	0           
114444.360  	0.00        	0           
114444.400  	0.00        	0           
114444.440  	0.00        	0           
114444.480  	0.00        	0           
114444.520  	0.00        	0           
114444.560  	0.00        	0           
114444.600  	0.00        	0           
114444.640  	0.00        	0           
114444.680  	0.00        	0           
114444.720  	0.00        	0           
114444.760  	0.00        	0           
114444.800  	0.00        	0           
114444.840  	0.00        	0           
114444.880  	0.00        	0           
114444.920  	0.00        	0           
114444.960  	0.00        	0           
114445.000  	0.00        	0           
114445.040  	0.00        	0           
114445.080  	-15.26      	0           
114445.120  	-15.26      	0           
114445.160  	-15.26      	0           
114445.200  	-15.26      	0           
114445.240  	-15.26      	0           
114445.280  	-15.26      	0           
114445.320  	-15.26      	0           
114445.360  	-15.26      	0           

229086.360  	-15.26      	0           
229086.400  	0.00        	0           
229086.440  	0.00        	0           
229086.480  	0.00        	0           
229086.520  	0.00        	0           
229086.560  	0.00        	0           
229086.600  	0.00        	0           
229086.640  	0.00        	0           
229086.680  	0.00        	0           
229086.720  	0.00        	0           
229086.760  	0.00        	0           
229086.800  	0.00        	0           
229086.840  	0.00        	0           
229086.880  	0.00        	0           
229086.920  	-15.26      	0           
229086.960  	-15.26      	0           
229087.000  	-15.26      	0           
229087.040  	-15.26      	0           
