MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 34 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 13 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 23 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 12 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 22 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 33 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 21 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 32 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 31 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 44 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 43 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 41 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 42 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 52 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 51 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 53 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 54 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 61 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 62 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 71 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 63 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 72 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 82 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 73 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 83 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 64 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 74 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 84 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 85 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 75 	Unit        
[ms]        	[µV]        	            
199.280     	-15.26      	0           
199.320     	-15.26      	0           
199.360     	-15.26      	0           
199.400     	-15.26      	0           
199.440     	-15.26      	0           
199.480     	0.00        	0           
199.520     	0.00        	0           
199.560     	0.00        	0           
199.600     	0.00        	0           
199.640     	-15.26      	0           
199.680     	-15.26      	0           
199.720     	-15.26      	0           
199.760     	-15.26      	0           
199.800     	0.00        	0           
199.840     	0.00        	0           
199.880     	-15.26      	0           
199.920     	-15.26      	0           
199.960     	-30.52      	0           
200.000     	-30.52      	0           
200.040     	-45.78      	0           
200.080     	-30.52      	0           
200.120     	-45.78      	0           
200.160     	-45.78      	0           
200.200     	-61.04      	0           
200.240     	-61.04      	0           
200.280     	-76.29      	0           
200.320     	-76.29      	0           
200.360     	-61.04      	0           
200.400     	-45.78      	0           
200.440     	-30.52      	0           
200.480     	-15.26      	0           
200.520     	-15.26      	0           
200.560     	0.00        	0           
200.600     	15.26       	0           
200.640     	15.26       	0           
200.680     	30.52       	0           
200.720     	30.52       	0           
200.760     	30.52       	0           
200.800     	45.78       	0           
200.840     	45.78       	0           
200.880     	45.78       	0           
200.920     	15.26       	0           
200.960     	15.26       	0           
201.000     	15.26       	0           
201.040     	15.26       	0           
201.080     	15.26       	0           
201.120     	15.26       	0           
201.160     	15.26       	0           
201.200     	30.52       	0           
201.240     	30.52       	0           
201.280     	15.26       	0           
201.320     	15.26       	0           
201.360     	15.26       	0           
201.400     	15.26       	0           
201.440     	15.26       	0           
201.480     	15.26       	0           
201.520     	15.26       	0           
201.560     	15.26       	0           
201.600     	0.00        	0           
201.640     	0.00        	0           
201.680     	0.00        	0           
201.720     	0.00        	0           
201.760     	0.00        	0           
201.800     	0.00        	0           
201.840     	0.00        	0           
201.880     	0.00        	0           
201.920     	0.00        	0           
201.960     	0.00        	0           
202.000     	0.00        	0           
202.040     	0.00        	0           
202.080     	0.00        	0           
202.120     	0.00        	0           
202.160     	-15.26      	0           
202.200     	-15.26      	0           
202.240     	-30.52      	0           

7562.360    	-15.26      	0           
7562.400    	-15.26      	0           
7562.440    	-15.26      	0           
7562.480    	-15.26      	0           
7562.520    	-15.26      	0           
7562.560    	-15.26      	0           
7562.600    	-15.26      	0           
7562.640    	-15.26      	0           
7562.680    	-15.26      	0           
7562.720    	-15.26      	0           
7562.760    	-15.26      	0           
7562.800    	-15.26      	0           
7562.840    	-15.26      	0           
7562.880    	-15.26      	0           
7562.920    	-15.26      	0           
7562.960    	-30.52      	0           
7563.000    	-30.52      	0           
7563.040    	-15.26      	0           
7563.080    	-15.26      	0           
7563.120    	-30.52      	0           
7563.160    	-30.52      	0           
7563.200    	-30.52      	0           
7563.240    	-45.78      	0           
7563.280    	-61.04      	0           
7563.320    	-61.04      	0           
7563.360    	-76.29      	0           
7563.400    	-91.55      	0           
7563.440    	-76.29      	0           
7563.480    	-76.29      	0           
7563.520    	-45.78      	0           
7563.560    	-30.52      	0           
7563.600    	-15.26      	0           
7563.640    	0.00        	0           
7563.680    	15.26       	0           
7563.720    	30.52       	0           
7563.760    	30.52       	0           
7563.800    	45.78       	0           
7563.840    	45.78       	0           
7563.880    	45.78       	0           
7563.920    	30.52       	0           
7563.960    	30.52       	0           
7564.000    	30.52       	0           
7564.040    	45.78       	0           
7564.080    	45.78       	0           
7564.120    	45.78       	0           
7564.160    	30.52       	0           
7564.200    	15.26       	0           
7564.240    	15.26       	0           
7564.280    	15.26       	0           
7564.320    	30.52       	0           
7564.360    	30.52       	0           
7564.400    	30.52       	0           
7564.440    	15.26       	0           
7564.480    	0.00        	0           
7564.520    	15.26       	0           
7564.560    	0.00        	0           
7564.600    	0.00        	0           
7564.640    	15.26       	0           
7564.680    	15.26       	0           
7564.720    	15.26       	0           
7564.760    	15.26       	0           
7564.800    	0.00        	0           
7564.840    	0.00        	0           
7564.880    	0.00        	0           
7564.920    	0.00        	0           
7564.960    	0.00        	0           
7565.000    	0.00        	0           
7565.040    	0.00        	0           
7565.080    	0.00        	0           
7565.120    	0.00        	0           
7565.160    	-15.26      	0           
7565.200    	-15.26      	0           
7565.240    	0.00        	0           
7565.280    	0.00        	0           
7565.320    	0.00        	0           

24336.480   	0.00        	0           
24336.520   	0.00        	0           
24336.560   	0.00        	0           
24336.600   	-15.26      	0           
24336.640   	-15.26      	0           
24336.680   	0.00        	0           
24336.720   	0.00        	0           
24336.760   	0.00        	0           
24336.800   	-15.26      	0           
24336.840   	-15.26      	0           
24336.880   	-15.26      	0           
24336.920   	-15.26      	0           
24336.960   	-30.52      	0           
24337.000   	-30.52      	0           
24337.040   	-30.52      	0           
24337.080   	-30.52      	0           
24337.120   	-45.78      	0           
24337.160   	-30.52      	0           
24337.200   	-30.52      	0           
24337.240   	-30.52      	0           
24337.280   	-30.52      	0           
24337.320   	-45.78      	0           
24337.360   	-61.04      	0           
24337.400   	-45.78      	0           
24337.440   	-61.04      	0           
24337.480   	-76.29      	0           
24337.520   	-61.04      	0           
24337.560   	-61.04      	0           
24337.600   	-45.78      	0           
24337.640   	-30.52      	0           
24337.680   	0.00        	0           
24337.720   	15.26       	0           
24337.760   	30.52       	0           
24337.800   	30.52       	0           
24337.840   	30.52       	0           
24337.880   	30.52       	0           
24337.920   	30.52       	0           
24337.960   	30.52       	0           
24338.000   	30.52       	0           
24338.040   	30.52       	0           
24338.080   	30.52       	0           
24338.120   	30.52       	0           
24338.160   	30.52       	0           
24338.200   	15.26       	0           
24338.240   	15.26       	0           
24338.280   	15.26       	0           
24338.320   	15.26       	0           
24338.360   	15.26       	0           
24338.400   	15.26       	0           
24338.440   	15.26       	0           
24338.480   	15.26       	0           
24338.520   	15.26       	0           
24338.560   	15.26       	0           
24338.600   	0.00        	0           
24338.640   	0.00        	0           
24338.680   	0.00        	0           
24338.720   	0.00        	0           
24338.760   	0.00        	0           
24338.800   	15.26       	0           
24338.840   	15.26       	0           
24338.880   	15.26       	0           
24338.920   	15.26       	0           
24338.960   	15.26       	0           
24339.000   	0.00        	0           
24339.040   	0.00        	0           
24339.080   	0.00        	0           
24339.120   	0.00        	0           
24339.160   	-15.26      	0           
24339.200   	-15.26      	0           
24339.240   	-15.26      	0           
24339.280   	0.00        	0           
24339.320   	-15.26      	0           
24339.360   	-15.26      	0           
24339.400   	-15.26      	0           
24339.440   	-15.26      	0           

35310.800   	0.00        	0           
35310.840   	-15.26      	0           
35310.880   	-15.26      	0           
35310.920   	-15.26      	0           
35310.960   	-15.26      	0           
35311.000   	-15.26      	0           
35311.040   	0.00        	0           
35311.080   	0.00        	0           
35311.120   	0.00        	0           
35311.160   	0.00        	0           
35311.200   	0.00        	0           
35311.240   	0.00        	0           
35311.280   	0.00        	0           
35311.320   	0.00        	0           
35311.360   	-15.26      	0           
35311.400   	-15.26      	0           
35311.440   	-30.52      	0           
