MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            
599724.600  	-15.26      	0           
599724.640  	-15.26      	0           
599724.680  	-15.26      	0           
599724.720  	-15.26      	0           
599724.760  	-15.26      	0           
599724.800  	0.00        	0           
599724.840  	0.00        	0           
599724.880  	0.00        	0           
599724.920  	0.00        	0           
599724.960  	0.00        	0           
599725.000  	0.00        	0           
599725.040  	0.00        	0           
599725.080  	0.00        	0           
599725.120  	0.00        	0           
599725.160  	-15.26      	0           
599725.200  	-15.26      	0           
599725.240  	-15.26      	0           
599725.280  	0.00        	0           
599725.320  	0.00        	0           
599725.360  	0.00        	0           
599725.400  	0.00        	0           
599725.440  	0.00        	0           
599725.480  	-15.26      	0           
599725.520  	-45.78      	0           
599725.560  	-61.04      	0           
599725.600  	-76.29      	0           
599725.640  	-61.04      	0           
599725.680  	-61.04      	0           
599725.720  	-45.78      	0           
599725.760  	-30.52      	0           
599725.800  	-15.26      	0           
599725.840  	0.00        	0           
599725.880  	0.00        	0           
599725.920  	0.00        	0           
599725.960  	15.26       	0           
599726.000  	15.26       	0           
599726.040  	15.26       	0           
599726.080  	0.00        	0           
599726.120  	0.00        	0           
599726.160  	0.00        	0           
599726.200  	0.00        	0           
599726.240  	0.00        	0           
599726.280  	0.00        	0           
599726.320  	0.00        	0           
599726.360  	0.00        	0           
599726.400  	0.00        	0           
599726.440  	15.26       	0           
599726.480  	15.26       	0           
599726.520  	15.26       	0           
599726.560  	15.26       	0           
599726.600  	15.26       	0           
599726.640  	15.26       	0           
599726.680  	15.26       	0           
599726.720  	0.00        	0           
599726.760  	0.00        	0           
599726.800  	0.00        	0           
599726.840  	0.00        	0           
599726.880  	0.00        	0           
599726.920  	0.00        	0           
599726.960  	0.00        	0           
599727.000  	0.00        	0           
599727.040  	0.00        	0           
599727.080  	0.00        	0           
599727.120  	0.00        	0           
599727.160  	0.00        	0           
599727.200  	0.00        	0           
599727.240  	0.00        	0           
599727.280  	0.00        	0           
599727.320  	0.00        	0           
599727.360  	0.00        	0           
599727.400  	0.00        	0           
599727.440  	0.00        	0           
599727.480  	-15.26      	0           
599727.520  	-15.26      	0           
599727.560  	-15.26      	0           


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            
599724.640  	0.00        	0           
599724.680  	0.00        	0           
599724.720  	0.00        	0           
599724.760  	0.00        	0           
599724.800  	0.00        	0           
599724.840  	0.00        	0           
599724.880  	0.00        	0           
599724.920  	0.00        	0           
599724.960  	-15.26      	0           
599725.000  	-15.26      	0           
599725.040  	-15.26      	0           
599725.080  	-15.26      	0           
599725.120  	-15.26      	0           
599725.160  	-15.26      	0           
599725.200  	-15.26      	0           
599725.240  	-15.26      	0           
599725.280  	-15.26      	0           
599725.320  	-15.26      	0           
599725.360  	-15.26      	0           
599725.400  	-15.26      	0           
599725.440  	-15.26      	0           
599725.480  	-15.26      	0           
599725.520  	-30.52      	0           
599725.560  	-45.78      	0           
599725.600  	-61.04      	0           
599725.640  	-76.29      	0           
599725.680  	-45.78      	0           
599725.720  	-30.52      	0           
599725.760  	-30.52      	0           
599725.800  	-15.26      	0           
599725.840  	-15.26      	0           
599725.880  	0.00        	0           
599725.920  	0.00        	0           
599725.960  	15.26       	0           
599726.000  	15.26       	0           
599726.040  	15.26       	0           
599726.080  	15.26       	0           
599726.120  	15.26       	0           
599726.160  	15.26       	0           
599726.200  	15.26       	0           
599726.240  	15.26       	0           
599726.280  	30.52       	0           
599726.320  	15.26       	0           
599726.360  	15.26       	0           
599726.400  	0.00        	0           
599726.440  	0.00        	0           
599726.480  	15.26       	0           
599726.520  	15.26       	0           
599726.560  	15.26       	0           
599726.600  	15.26       	0           
599726.640  	15.26       	0           
599726.680  	15.26       	0           
599726.720  	-15.26      	0           
599726.760  	-15.26      	0           
599726.800  	-15.26      	0           
599726.840  	0.00        	0           
599726.880  	0.00        	0           
599726.920  	0.00        	0           
599726.960  	0.00        	0           
599727.000  	0.00        	0           
599727.040  	0.00        	0           
599727.080  	0.00        	0           
599727.120  	0.00        	0           
599727.160  	0.00        	0           
599727.200  	0.00        	0           
599727.240  	0.00        	0           
599727.280  	0.00        	0           
599727.320  	0.00        	0           
599727.360  	-15.26      	0           
599727.400  	-15.26      	0           
599727.440  	-15.26      	0           
599727.480  	-15.26      	0           
599727.520  	0.00        	0           
599727.560  	0.00        	0           
599727.600  	0.00        	0           


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            
2602.560    	0.00        	0           
2602.600    	0.00        	0           
2602.640    	0.00        	0           
2602.680    	0.00        	0           
2602.720    	0.00        	0           
2602.760    	0.00        	0           
2602.800    	0.00        	0           
2602.840    	0.00        	0           
2602.880    	-15.26      	0           
2602.920    	-15.26      	0           
2602.960    	-15.26      	0           
2603.000    	0.00        	0           
2603.040    	0.00        	0           
2603.080    	0.00        	0           
2603.120    	0.00        	0           
2603.160    	0.00        	0           
2603.200    	0.00        	0           
2603.240    	0.00        	0           
2603.280    	0.00        	0           
2603.320    	15.26       	0           
2603.360    	15.26       	0           
2603.400    	0.00        	0           
2603.440    	-15.26      	0           
2603.480    	-45.78      	0           
2603.520    	-61.04      	0           
2603.560    	-76.29      	0           
2603.600    	-61.04      	0           
2603.640    	-45.78      	0           
2603.680    	-45.78      	0           
2603.720    	-30.52      	0           
2603.760    	-30.52      	0           
2603.800    	-15.26      	0           
2603.840    	-15.26      	0           
2603.880    	0.00        	0           
2603.920    	0.00        	0           
2603.960    	15.26       	0           
2604.000    	15.26       	0           
2604.040    	15.26       	0           
2604.080    	0.00        	0           
2604.120    	15.26       	0           
2604.160    	15.26       	0           
2604.200    	0.00        	0           
2604.240    	0.00        	0           
2604.280    	0.00        	0           
2604.320    	0.00        	0           
2604.360    	15.26       	0           
2604.400    	0.00        	0           
2604.440    	0.00        	0           
2604.480    	0.00        	0           
2604.520    	15.26       	0           
2604.560    	15.26       	0           
2604.600    	15.26       	0           
2604.640    	15.26       	0           
2604.680    	15.26       	0           
2604.720    	15.26       	0           
2604.760    	0.00        	0           
2604.800    	0.00        	0           
2604.840    	0.00        	0           
2604.880    	0.00        	0           
2604.920    	0.00        	0           
2604.960    	0.00        	0           
2605.000    	0.00        	0           
2605.040    	15.26       	0           
2605.080    	0.00        	0           
2605.120    	0.00        	0           
2605.160    	0.00        	0           
2605.200    	0.00        	0           
2605.240    	-15.26      	0           
2605.280    	-15.26      	0           
2605.320    	-15.26      	0           
2605.360    	-15.26      	0           
2605.400    	0.00        	0           
2605.440    	0.00        	0           
2605.480    	0.00        	0           
2605.520    	0.00        	0           

34603.880   	0.00        	0           
34603.920   	0.00        	0           
34603.960   	0.00        	0           
34604.000   	0.00        	0           
34604.040   	0.00        	0           
34604.080   	0.00        	0           
34604.120   	0.00        	0           
34604.160   	0.00        	0           
34604.200   	-15.26      	0           
34604.240   	-15.26      	0           
34604.280   	-15.26      	0           
34604.320   	-15.26      	0           
34604.360   	0.00        	0           
34604.400   	0.00        	0           
34604.440   	0.00        	0           
34604.480   	0.00        	0           
34604.520   	15.26       	0           
34604.560   	15.26       	0           
34604.600   	0.00        	0           
34604.640   	-15.26      	0           
34604.680   	-15.26      	0           
34604.720   	-30.52      	0           
34604.760   	-30.52      	0           
34604.800   	-45.78      	0           
34604.840   	-61.04      	0           
34604.880   	-76.29      	0           
34604.920   	-61.04      	0           
34604.960   	-61.04      	0           
34605.000   	-45.78      	0           
34605.040   	-45.78      	0           
34605.080   	-15.26      	0           
34605.120   	-15.26      	0           
34605.160   	-15.26      	0           
34605.200   	0.00        	0           
34605.240   	0.00        	0           
34605.280   	15.26       	0           
34605.320   	15.26       	0           
34605.360   	15.26       	0           
34605.400   	15.26       	0           
34605.440   	15.26       	0           
34605.480   	15.26       	0           
34605.520   	15.26       	0           
34605.560   	15.26       	0           
34605.600   	30.52       	0           
34605.640   	15.26       	0           
34605.680   	15.26       	0           
34605.720   	0.00        	0           
34605.760   	0.00        	0           
34605.800   	0.00        	0           
34605.840   	0.00        	0           
34605.880   	0.00        	0           
34605.920   	0.00        	0           
34605.960   	0.00        	0           
34606.000   	0.00        	0           
34606.040   	0.00        	0           
34606.080   	0.00        	0           
34606.120   	0.00        	0           
34606.160   	15.26       	0           
34606.200   	15.26       	0           
34606.240   	15.26       	0           
34606.280   	15.26       	0           
34606.320   	15.26       	0           
34606.360   	-15.26      	0           
34606.400   	-15.26      	0           
34606.440   	-15.26      	0           
34606.480   	-15.26      	0           
34606.520   	-15.26      	0           
34606.560   	-15.26      	0           
34606.600   	-15.26      	0           
34606.640   	-15.26      	0           
34606.680   	0.00        	0           
34606.720   	0.00        	0           
34606.760   	0.00        	0           
34606.800   	0.00        	0           
34606.840   	-15.26      	0           

51071.800   	0.00        	0           
51071.840   	0.00        	0           
51071.880   	15.26       	0           
51071.920   	0.00        	0           
51071.960   	0.00        	0           
51072.000   	-15.26      	0           
51072.040   	-15.26      	0           
51072.080   	0.00        	0           
51072.120   	0.00        	0           
51072.160   	0.00        	0           
