MC_DataTool ASCII conversion

t           	Spikes 1 47 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 48 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 46 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 45 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 38 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 37 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 28 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 36 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 27 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 17 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 26 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 16 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 35 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 25 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 15 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 14 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 24 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 34 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 13 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 23 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 12 	Unit        
[ms]        	[µV]        	            
136813.800  	-15.26      	0           
136813.840  	-15.26      	0           
136813.880  	-15.26      	0           
136813.920  	0.00        	0           
136813.960  	0.00        	0           
136814.000  	0.00        	0           
136814.040  	0.00        	0           
136814.080  	0.00        	0           
136814.120  	0.00        	0           
136814.160  	0.00        	0           
136814.200  	-15.26      	0           
136814.240  	-15.26      	0           
136814.280  	-15.26      	0           
136814.320  	-15.26      	0           
136814.360  	-15.26      	0           
136814.400  	-15.26      	0           
136814.440  	-15.26      	0           
136814.480  	-15.26      	0           
136814.520  	-30.52      	0           
136814.560  	-30.52      	0           
136814.600  	-30.52      	0           
136814.640  	-30.52      	0           
136814.680  	-30.52      	0           
136814.720  	-45.78      	0           
136814.760  	-61.04      	0           
136814.800  	-76.29      	0           
136814.840  	-45.78      	0           
136814.880  	-30.52      	0           
136814.920  	-30.52      	0           
136814.960  	-15.26      	0           
136815.000  	0.00        	0           
136815.040  	0.00        	0           
136815.080  	0.00        	0           
136815.120  	0.00        	0           
136815.160  	0.00        	0           
136815.200  	0.00        	0           
136815.240  	0.00        	0           
136815.280  	15.26       	0           
136815.320  	15.26       	0           
136815.360  	15.26       	0           
136815.400  	15.26       	0           
136815.440  	15.26       	0           
136815.480  	15.26       	0           
136815.520  	15.26       	0           
136815.560  	15.26       	0           
136815.600  	15.26       	0           
136815.640  	30.52       	0           
136815.680  	15.26       	0           
136815.720  	15.26       	0           
136815.760  	0.00        	0           
136815.800  	0.00        	0           
136815.840  	0.00        	0           
136815.880  	0.00        	0           
136815.920  	0.00        	0           
136815.960  	0.00        	0           
136816.000  	0.00        	0           
136816.040  	0.00        	0           
136816.080  	0.00        	0           
136816.120  	15.26       	0           
136816.160  	15.26       	0           
136816.200  	15.26       	0           
136816.240  	15.26       	0           
136816.280  	0.00        	0           
136816.320  	-15.26      	0           
136816.360  	-15.26      	0           
136816.400  	-15.26      	0           
136816.440  	-15.26      	0           
136816.480  	-15.26      	0           
136816.520  	-15.26      	0           
136816.560  	0.00        	0           
136816.600  	0.00        	0           
136816.640  	0.00        	0           
136816.680  	0.00        	0           
136816.720  	0.00        	0           
136816.760  	-15.26      	0           

339481.200  	0.00        	0           
339481.240  	0.00        	0           
339481.280  	0.00        	0           
339481.320  	0.00        	0           
339481.360  	0.00        	0           
339481.400  	0.00        	0           
339481.440  	0.00        	0           
339481.480  	0.00        	0           
339481.520  	0.00        	0           
339481.560  	0.00        	0           
339481.600  	0.00        	0           
339481.640  	0.00        	0           
339481.680  	0.00        	0           
339481.720  	0.00        	0           
339481.760  	0.00        	0           
339481.800  	0.00        	0           
339481.840  	0.00        	0           
339481.880  	0.00        	0           
339481.920  	0.00        	0           
339481.960  	0.00        	0           
339482.000  	0.00        	0           
339482.040  	-15.26      	0           
339482.080  	-45.78      	0           
339482.120  	-45.78      	0           
339482.160  	-61.04      	0           
339482.200  	-76.29      	0           
339482.240  	-61.04      	0           
339482.280  	-61.04      	0           
339482.320  	-61.04      	0           
339482.360  	-30.52      	0           
339482.400  	-15.26      	0           
339482.440  	0.00        	0           
339482.480  	15.26       	0           
339482.520  	15.26       	0           
339482.560  	15.26       	0           
339482.600  	15.26       	0           
339482.640  	15.26       	0           
339482.680  	15.26       	0           
339482.720  	15.26       	0           
339482.760  	30.52       	0           
339482.800  	15.26       	0           
339482.840  	15.26       	0           
339482.880  	15.26       	0           
339482.920  	15.26       	0           
339482.960  	15.26       	0           
339483.000  	15.26       	0           
339483.040  	15.26       	0           
339483.080  	15.26       	0           
339483.120  	15.26       	0           
339483.160  	15.26       	0           
339483.200  	15.26       	0           
339483.240  	15.26       	0           
339483.280  	0.00        	0           
339483.320  	15.26       	0           
339483.360  	15.26       	0           
339483.400  	15.26       	0           
339483.440  	15.26       	0           
339483.480  	15.26       	0           
339483.520  	15.26       	0           
339483.560  	15.26       	0           
339483.600  	0.00        	0           
339483.640  	0.00        	0           
339483.680  	0.00        	0           
339483.720  	0.00        	0           
339483.760  	0.00        	0           
339483.800  	0.00        	0           
339483.840  	0.00        	0           
339483.880  	0.00        	0           
339483.920  	0.00        	0           
339483.960  	-15.26      	0           
339484.000  	-15.26      	0           
339484.040  	-15.26      	0           
339484.080  	-15.26      	0           
339484.120  	-15.26      	0           
339484.160  	0.00        	0           


t           	Spikes 1 22 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 33 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 21 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 32 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 31 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 44 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 43 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 41 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 42 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 52 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 51 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 53 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 54 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 61 	Unit        
[ms]        	[µV]        	            


t           	Spikes 1 62 	Unit        
[ms]        	[µV]        	            
174431.440  	-45.78      	0           
174431.480  	-30.52      	0           
174431.520  	-30.52      	0           
174431.560  	-30.52      	0           
174431.600  	-30.52      	0           
174431.640  	-30.52      	0           
174431.680  	-45.78      	0           
174431.720  	-30.52      	0           
174431.760  	-30.52      	0           
174431.800  	-30.52      	0           
174431.840  	-30.52      	0           
174431.880  	-45.78      	0           
174431.920  	-45.78      	0           
174431.960  	-61.04      	0           
174432.000  	-61.04      	0           
174432.040  	-61.04      	0           
174432.080  	-61.04      	0           
174432.120  	-61.04      	0           
174432.160  	-61.04      	0           
174432.200  	-76.29      	0           
174432.240  	-61.04      	0           
174432.280  	-61.04      	0           
174432.320  	-76.29      	0           
174432.360  	-76.29      	0           
174432.400  	-76.29      	0           
174432.440  	-91.55      	0           
174432.480  	-91.55      	0           
174432.520  	-91.55      	0           
174432.560  	-91.55      	0           
174432.600  	-91.55      	0           
174432.640  	-91.55      	0           
174432.680  	-106.81     	0           
174432.720  	-106.81     	0           
174432.760  	-106.81     	0           
174432.800  	-122.07     	0           
174432.840  	-122.07     	0           
174432.880  	-122.07     	0           
174432.920  	-122.07     	0           
174432.960  	-106.81     	0           
174433.000  	-106.81     	0           
174433.040  	-106.81     	0           
174433.080  	-106.81     	0           
174433.120  	-106.81     	0           
174433.160  	-106.81     	0           
174433.200  	-106.81     	0           
174433.240  	-106.81     	0           
174433.280  	-91.55      	0           
174433.320  	-91.55      	0           
174433.360  	-91.55      	0           
174433.400  	-91.55      	0           
174433.440  	-91.55      	0           
174433.480  	-91.55      	0           
174433.520  	-91.55      	0           
174433.560  	-76.29      	0           
174433.600  	-76.29      	0           
174433.640  	-76.29      	0           
174433.680  	-76.29      	0           
174433.720  	-76.29      	0           
174433.760  	-76.29      	0           
174433.800  	-61.04      	0           
174433.840  	-61.04      	0           
174433.880  	-61.04      	0           
174433.920  	-61.04      	0           
174433.960  	-61.04      	0           
174434.000  	-61.04      	0           
174434.040  	-45.78      	0           
174434.080  	-30.52      	0           
174434.120  	-30.52      	0           
174434.160  	-30.52      	0           
174434.200  	-30.52      	0           
174434.240  	-30.52      	0           
174434.280  	-30.52      	0           
174434.320  	-15.26      	0           
174434.360  	-15.26      	0           
174434.400  	0.00        	0           


t           	Spikes 1 71 	Unit        
[ms]        	[µV]        	            
10209.480   	0.00        	0           
10209.520   	0.00        	0           
10209.560   	0.00        	0           
10209.600   	0.00        	0           
10209.640   	0.00        	0           
10209.680   	0.00        	0           
10209.720   	0.00        	0           
10209.760   	0.00        	0           
10209.800   	0.00        	0           
10209.840   	-15.26      	0           
10209.880   	-15.26      	0           
10209.920   	-15.26      	0           
10209.960   	0.00        	0           
10210.000   	0.00        	0           
10210.040   	0.00        	0           
10210.080   	0.00        	0           
10210.120   	0.00        	0           
10210.160   	-15.26      	0           
10210.200   	-15.26      	0           
10210.240   	-15.26      	0           
10210.280   	-15.26      	0           
10210.320   	-30.52      	0           
10210.360   	-30.52      	0           
10210.400   	-45.78      	0           
10210.440   	-45.78      	0           
10210.480   	-76.29      	0           
10210.520   	-106.81     	0           
10210.560   	-122.07     	0           
10210.600   	-122.07     	0           
10210.640   	-91.55      	0           
10210.680   	-76.29      	0           
10210.720   	-45.78      	0           
10210.760   	-30.52      	0           
10210.800   	-15.26      	0           
